Date,YMAX,YMAG,VIX,VVIX,QQQ
6/18/2024,19.54,20.62,12.30000019,80.62999725,482.9813843
6/20/2024,19.58,20.56,13.27999973,85.72000122,479.258606
6/21/2024,19.57,20.51,13.19999981,83.30999756,477.9745178
6/24/2024,19.39,20.39,13.32999992,84.80000305,472.5329285
6/25/2024,19.66,20.75,12.84000015,82.87000275,477.936615
6/26/2024,19.57,20.89,12.55000019,81.44999695,478.923645
6/27/2024,19.7,20.93,12.23999977,79.5,480.1598816
6/28/2024,19.51,20.77,12.43999958,79.48000336,477.6674194
7/1/2024,19.58,21.08,12.22000027,76.05000305,480.4689941
7/2/2024,19.68,21.23,12.02999973,77.05999756,485.5137634
7/3/2024,19.74,21.45,12.09000015,78.06999969,489.5615234
7/5/2024,19.88,21.63,12.47999954,78.80000305,494.6661072
7/8/2024,19.89,21.64,12.36999989,78.58999634,495.8425293
7/9/2024,19.87,21.69,12.51000023,78.58000183,496.2712402
7/10/2024,19.99,21.87,12.85000038,83.41000366,501.4456177
7/11/2024,19.87,21.24,12.92000008,84.47000122,490.448822
7/12/2024,19.97,21.33,12.46000004,81.61000061,493.3301392
7/15/2024,20.2,21.38,13.11999989,83.86000061,494.6561279
7/16/2024,20.18,21.31,13.18999958,82.40000153,494.8455505
7/17/2024,19.21,20.05,14.47999954,88.27999878,480.3194275
7/18/2024,18.95,20.02,15.93000031,94.70999908,478.0462646
7/19/2024,18.99,19.8,16.52000046,97.93000031,473.8090515
7/22/2024,19.24,20.2,14.90999985,93.66000366,480.8677673
7/23/2024,19.15,20.19,14.72000027,88.51000214,479.1728821
7/24/2024,18.49,19.26,18.04000092,106.1200027,461.9848022
7/25/2024,18.33,19.03,18.45999908,104.3799973,456.8901672
7/26/2024,18.58,19.24,16.38999939,94.61000061,461.5760498
7/29/2024,18.61,19.35,16.60000038,93.51000214,462.5032043
7/30/2024,18.51,19.11,17.69000053,99.97000122,456.1524353
7/31/2024,18.82,19.69,16.36000061,94.25,469.6516418
8/1/2024,18.2,19.46,18.59000015,111.1800003,458.276001
8/2/2024,17.75,18.98,23.38999939,136.8099976,447.3988647
8/5/2024,17.05,18.19,38.56999969,173.3200073,434.0591431
8/6/2024,17.41,18.58,27.70999908,150.0899963,438.206604
8/7/2024,17.18,18.36,27.85000038,151.2400055,433.460907
8/8/2024,17.75,18.78,23.79000092,134.3399963,446.7209167
8/9/2024,17.86,18.96,20.37000084,114.6299973,449.053833
8/12/2024,17.84,19.05,20.70999908,121.9400024,450.0209351
8/13/2024,18.14,19.39,18.12000084,113.8899994,461.1871948
8/14/2024,18.13,19.34,16.19000053,107.8099976,461.3367615
8/15/2024,17.65,18.87,15.22999954,105.4199982,472.9915466
8/16/2024,17.82,18.96,14.80000019,103.4199982,473.5997009
8/19/2024,17.93,19.15,14.64999962,98.81999969,479.8209229
8/20/2024,17.91,19.18,15.88000011,101.7399979,478.8139648
8/21/2024,18.05,19.28,16.27000046,106.7200012,481.0472107
8/22/2024,17.7,18.91,17.54999924,112.5299988,473.4202576
8/23/2024,17.87,19.16,15.85999966,99.22000122,478.5547485
8/26/2024,17.92,19.05,16.14999962,100.6800003,473.908783
8/27/2024,17.85,19.02,15.43000031,93.44999695,475.3245239
8/28/2024,17.57,18.85,17.11000061,106.3199997,469.9307861
8/29/2024,17.6,18.88,15.64999962,97.08000183,469.2428894
8/30/2024,17.74,19.12,15,93.73000336,474.835968
9/3/2024,17.23,18.62,20.71999931,129.7899933,460.4195251
9/4/2024,17.25,18.61,21.31999969,123.4700012,459.223114
9/5/2024,17.21,18.75,19.89999962,115.0100021,459.651825
9/6/2024,16.71,18.16,22.37999916,119.3300018,447.3390198
9/9/2024,17.03,18.38,19.45000076,110.8499985,453.0916138
9/10/2024,17.17,18.57,19.07999992,107.1999969,457.2790222
9/11/2024,17.35,18.84,17.69000053,102.9000015,467.2089844
9/12/2024,17.44,19.02,17.06999969,103.9400024,471.795166
9/13/2024,17.51,19.08,16.55999947,101.8799973,473.908783
9/16/2024,17.5,19.05,17.13999939,106.6699982,471.815094
9/17/2024,17.61,19.1,17.61000061,107.1900024,472.0643616
9/18/2024,17.6,19.18,18.22999954,105.4300003,470.0205383
9/19/2024,17.72,19.3,16.32999992,97.45999908,481.9046326
9/20/2024,17.64,19.24,16.14999962,94.26999664,480.9873962
9/23/2024,17.76,19.36,15.89000034,94.41000366,482.2623596
9/24/2024,17.91,19.48,15.39000034,90.93000031,484.5885925
9/25/2024,17.87,19.54,15.40999985,90.48000336,485.0378723
9/26/2024,17.81,19.38,15.36999989,89.86000061,488.6820068
9/27/2024,17.89,19.35,16.95999908,101.3399963,485.9663696
9/30/2024,17.83,19.45,16.72999954,99.33999634,487.2842407
10/1/2024,17.57,19.25,19.26000023,110.1399994,480.4951782
10/2/2024,17.55,19.14,18.89999962,107.9700012,481.1741028
10/3/2024,17.3,18.97,20.48999977,115.6399994,480.8146667
10/4/2024,17.6,19.16,19.20999908,110.6299973,486.5354614
10/7/2024,17.52,18.92,22.63999939,122.5800018,481.3238525
10/8/2024,17.59,19.2,21.42000008,114.8199997,488.5122681
10/9/2024,17.64,19.21,20.86000061,119.3600006,492.3560486
10/10/2024,17.43,18.93,20.93000031,117.4300003,491.7969666
10/11/2024,17.61,18.8,20.45999908,113.9899979,492.5657043
10/14/2024,17.69,18.94,19.70000076,107.2200012,496.6990662
10/15/2024,17.49,18.86,20.63999939,112.9000015,490.0597839
10/16/2024,17.59,18.87,19.57999992,111.6200027,490.1196899
10/17/2024,17.33,18.67,19.11000061,105.8899994,490.459137
10/18/2024,17.57,18.76,18.03000069,100.9499969,493.6739502
10/21/2024,17.62,18.87,18.37000084,102.9599991,494.6224365
10/22/2024,17.53,18.93,18.20000076,100.5,495.1615295
10/23/2024,17.32,18.63,19.23999977,108.1100006,487.573761
10/24/2024,17.32,19.02,19.07999992,109.8399963,491.5274048
10/25/2024,17.36,19.14,20.32999992,117.5,494.522583
10/28/2024,17.55,19.14,19.79999924,112.2300034,494.6024475
10/29/2024,17.65,19.3,19.34000015,108.6999969,499.3547974
10/30/2024,17.51,19.29,20.35000038,112.7699966,495.5808716
10/31/2024,16.92,18.59,23.15999985,121.8899994,483.0710449
11/1/2024,16.94,18.79,21.87999916,119.1200027,486.6452637
11/4/2024,16.91,18.69,21.97999954,121.8000031,485.2275696
11/5/2024,17.12,18.96,20.48999977,114.3199997,491.417572
11/6/2024,17.7,19.48,16.27000046,97.23999786,504.7660522
11/7/2024,17.71,19.63,15.19999981,88.59999847,512.7131958
11/8/2024,17.72,19.73,14.93999958,87.76000214,513.3123169
11/11/2024,18.12,19.9,14.97000027,90.73000336,513.0127563
11/12/2024,18.1,19.87,14.71000004,89.44999695,512.0842285
11/13/2024,17.94,19.94,14.02000046,91.76000214,511.4253235
11/14/2024,17.62,19.54,14.31000042,90.43000031,507.8710632
11/15/2024,17.59,19.2,16.13999939,98.93000031,495.7705688
11/18/2024,17.86,19.36,15.57999992,93.80999756,499.2149963
11/19/2024,18.22,19.63,16.35000038,97.37000275,502.6494751
11/20/2024,18.19,19.52,17.15999985,102.1999969,502.3599548
11/21/2024,18.13,19.33,16.87000084,101.3000031,504.1670227
11/22/2024,18.35,19.28,15.23999977,95.12999725,504.9757385
11/25/2024,18.45,19.29,14.60000038,88.79000092,505.7744141
11/26/2024,18.24,19.47,14.10000038,87.70999908,508.4900513
11/27/2024,18.35,19.39,14.10000038,88.36000061,504.4864807
11/29/2024,18.12,19.37,13.51000023,86.31999969,508.919342
12/2/2024,18.37,19.63,13.34000015,87.11000061,514.4603882
12/3/2024,18.44,19.77,13.30000019,86.43000031,516.0379028
12/4/2024,18.65,19.92,13.44999981,86.48000336,522.4176025
12/5/2024,18.4,19.74,13.53999996,86.94999695,520.9699097
12/6/2024,18.65,19.92,12.77000046,87.37999725,525.6323853
12/9/2024,18.5,19.9,14.18999958,93.83999634,521.5390015
12/10/2024,18.26,19.91,14.18000031,94.34999847,519.7618408
12/11/2024,18.46,20.3,13.57999992,98.12000275,529.0668335
12/12/2024,18.25,20.1,13.92000008,99.43000031,525.6524048
12/13/2024,18.18,20,13.81000042,96.5,529.6759033
12/16/2024,18.3,20.31,14.68999958,98.34999847,537.3035889
12/17/2024,18.26,20.35,15.86999989,100.7300034,534.9373779
12/18/2024,17.5,19.62,27.62000084,129.7899933,515.6384888
12/19/2024,17.29,19.6,24.09000015,136.2899933,513.3422241
12/20/2024,17.53,19.63,18.36000061,114.0100021,517.8249512
12/23/2024,17.54,19.88,16.78000069,102.3399963,522.8699951
12/24/2024,17.85,20.21,14.27000046,91.05000305,529.960022
12/26/2024,17.79,20.18,14.72999954,92.76999664,529.5999756
12/27/2024,17.3,19.72,15.94999981,98.80999756,522.5599976
12/30/2024,17.08,19.51,17.39999962,103.0500031,515.6099854
12/31/2024,16.95,19.25,17.35000038,104.3300018,511.230011
1/2/2025,17.04,19.18,17.93000031,106.5899963,510.230011
1/3/2025,17.25,19.2,16.12999916,94.36000061,518.5800171
1/6/2025,17.47,19.45,16.04000092,95.88999939,524.539978
1/7/2025,17.11,19.09,17.81999969,106.3700027,515.1799927
1/8/2025,16.73,18.84,17.70000076,103.9300003,515.2700195
1/10/2025,16.52,18.71,19.54000092,115.4899979,507.1900024
1/13/2025,16.25,18.6,19.19000053,110.9400024,505.5599976
1/14/2025,16.31,18.44,18.70999908,107.9300003,505.0799866
1/15/2025,16.67,18.85,16.12000084,97.79000092,516.7000122
1/16/2025,16.51,18.59,16.60000038,99.83999634,513.0800171
1/17/2025,16.77,18.79,15.97000027,101.6100006,521.7399902
1/21/2025,16.88,18.9,15.06000042,98.26000214,524.7999878
1/22/2025,17.03,19.06,15.10000038,100.5599976,531.5100098
1/23/2025,16.96,18.94,15.02000046,99.51999664,532.6400146
1/24/2025,16.89,18.93,14.85000038,100.4100037,529.6300049
1/27/2025,16.4,18.39,17.89999962,110.3099976,514.210022
1/28/2025,16.72,18.81,16.40999985,103.7399979,521.8099976
